time_period,region_name,house_price_avg,house_price_2k,house_price_2k_10k,house_price_10k_50k,house_price_50k_plus,flat_price_avg,flat_price_2k,flat_price_2k_10k,flat_price_10k_50k,flat_price_50k_plus
2020-2022,Chomutov,33306.0,31568,41374,34643,x,25022.0,30213,18715,24965,x
2020-2022,Litoměřice,32097.0,31579,31495,39240,x,37181.0,27448,34290,41579,x
2020-2022,Louny,29597.0,27905,32004,34775,x,30830.0,24291,24534,32736,x
2020-2022,Most,36208.0,30037,35767,31708,45220,28254.0,.,22335,26938,32256
2020-2022,Teplice,34177.0,30293,36196,36155,x,27102.0,18391,24305,28634,x
2020-2022,Ústí nad Labem,41501.0,34510,38072,x,49171,35477.0,26000,28887,x,36365
2020-2022,Liberecký kraj,39801.0,33296,35850,39427,58616,39505.0,26869,31130,36950,50824
2020-2022,Česká Lípa,35471.0,31805,41275,38625,x,31493.0,20792,28485,33417,x
2020-2022,Jablonec nad Nisou,37229.0,36768,34824,40294,x,36880.0,30183,30465,39163,x
2020-2022,Liberec,44567.0,32087,36190,x,58616,45995.0,27272,32758,x,50824
2020-2022,Semily,34352.0,33186,35031,38146,x,34478.0,25873,32503,44850,x
2020-2022,Královéhradecký kraj,37913.0,33667,34184,36066,58032,40137.0,28732,32760,38137,58623
2020-2022,Hradec Králové,46958.0,34649,39469,x,58032,55793.0,35336,38390,x,58623
2020-2022,Jičín,32783.0,30513,34073,39497,x,36690.0,29386,35815,41439,x
2020-2022,Náchod,31247.0,32353,29726,32167,x,30339.0,24709,28000,33489,x
2020-2022,Rychnov nad Kněžnou,34558.0,33488,33511,39388,x,36208.0,29522,35956,41790,x
2020-2022,Trutnov,36276.0,35924,35659,36719,x,34830.0,28462,27643,38858,x
2020-2022,Pardubický kraj,35595.0,33346,35864,36525,57783,42244.0,28111,35627,38084,54585
2020-2022,Chrudim,33852.0,32288,32607,39970,x,35430.0,25978,32308,40874,x
2020-2022,Pardubice,46187.0,41824,44792,x,57783,50069.0,32206,37828,x,54585
2020-2022,Svitavy,32922.0,31255,35705,34350,x,34613.0,25711,35728,36511,x
2020-2022,Ústí nad Orlicí,32674.0,30483,34171,34669,x,35104.0,26945,35474,36876,x
2020-2022,Kraj Vysočina,35459.0,33295,33215,37390,56753,39903.0,26758,33335,42205,46776
2020-2022,Havlíčkův Brod,34466.0,33462,32376,38006,x,33729.0,21877,32655,37279,x
2020-2022,Jihlava,40435.0,31221,34796,x,56753,44323.0,30755,34047,x,46776
2020-2022,Pelhřimov,33570.0,32710,32734,35424,x,35017.0,23082,27730,41139,x
2020-2022,Třebíč,32726.0,32745,30441,38862,x,38660.0,27277,35116,42786,x
2020-2022,Žďár nad Sázavou,35527.0,34827,36220,37654,x,41963.0,30741,36553,46216,x
2020-2022,Jihomoravský kraj,41629.0,34976,38135,37379,64207,55888.0,31191,40381,42270,69210
2020-2022,Blansko,35348.0,33442,36884,40708,x,38720.0,26281,37640,46691,x
2020-2022,Brno-město,64207.0,x,x,x,64207,69210.0,x,x,x,69210
2020-2022,Brno-venkov,40204.0,38436,42650,41151,x,42592.0,36474,42759,48049,x
2020-2022,Břeclav,36937.0,34607,39809,37755,x,42923.0,33943,45680,43035,x
2020-2022,Hodonín,32411.0,30120,32214,36335,x,37854.0,30499,33405,39144,x
2020-2022,Vyškov,36578.0,35848,39505,33934,x,41530.0,34905,39401,46763,x
2020-2022,Znojmo,34289.0,33429,34289,38633,x,39170.0,28560,36635,42402,x
2020-2022,Olomoucký kraj,32572.0,30385,32851,34190,60379,39858.0,24688,32475,36027,54372
2020-2022,Jeseník,29440.0,28251,29961,31762,x,30290.0,21379,24142,33663,x
2020-2022,Olomouc,36770.0,32774,36577,34637,60379,48331.0,26150,36405,35687,54372
2020-2022,Prostějov,32296.0,30134,32240,39498,x,37257.0,25993,32069,39809,x
2020-2022,Přerov,28977.0,29104,26971,29907,x,33234.0,23395,29849,34527,x
2020-2022,Šumperk,31194.0,29267,33425,32618,x,33784.0,23851,32388,36222,x
2020-2022,Zlínský kraj,32356.0,28706,30773,35547,48982,38849.0,27471,34293,39738,50014
2020-2022,Kroměříž,28563.0,26997,30052,32359,x,34972.0,27169,31905,38256,x
2020-2022,Uherské Hradiště,30094.0,27821,29747,36053,x,39481.0,28894,38634,41149,x
