region,type,year,quarter,index_value
Jihomoravský kraj,Byty,2020,3,180.1
Olomoucký kraj,Byty,2020,3,177.8
Zlínský kraj,Byty,2020,3,186.1
Česká republika,Byty,2020,4,186.2
ČR bez Prahy,Byty,2020,4,184.5
Hlavní město Praha,Byty,2020,4,188.4
Středočeský kraj,Byty,2020,4,183.3
Jihočeský kraj,Byty,2020,4,196.7
Plzeňský kraj,Byty,2020,4,175
Karlovarský kraj,Byty,2020,4,171.4
Ústecký kraj,Byty,2020,4,211.8
Liberecký kraj,Byty,2020,4,203.7
Královéhradecký kraj,Byty,2020,4,183.9
Pardubický kraj,Byty,2020,4,180.8
Kraj Vysočina,Byty,2020,4,192.2
Jihomoravský kraj,Byty,2020,4,180.3
Olomoucký kraj,Byty,2020,4,184.7
Zlínský kraj,Byty,2020,4,177.6
Česká republika,Byty,2020,year,181.4
ČR bez Prahy,Byty,2020,year,180.1
Hlavní město Praha,Byty,2020,year,183
Středočeský kraj,Byty,2020,year,180.7
Jihočeský kraj,Byty,2020,year,188.9
Plzeňský kraj,Byty,2020,year,171
Karlovarský kraj,Byty,2020,year,162.2
Ústecký kraj,Byty,2020,year,208
Liberecký kraj,Byty,2020,year,194.4
Královéhradecký kraj,Byty,2020,year,180
Pardubický kraj,Byty,2020,year,175.5
Kraj Vysočina,Byty,2020,year,184.8
Jihomoravský kraj,Byty,2020,year,176.7
Olomoucký kraj,Byty,2020,year,177.7
Zlínský kraj,Byty,2020,year,178.8
Česká republika,Domy,2021,1,184
ČR bez Prahy,Domy,2021,1,187.2
Hlavní město Praha,Domy,2021,1,161.8
Středočeský kraj,Domy,2021,1,198
Jihočeský kraj,Domy,2021,1,191.5
Plzeňský kraj,Domy,2021,1,194.1
Karlovarský kraj,Domy,2021,1,157.8
Ústecký kraj,Domy,2021,1,180.6
Liberecký kraj,Domy,2021,1,192
Královéhradecký kraj,Domy,2021,1,184.3
Pardubický kraj,Domy,2021,1,175.9
Kraj Vysočina,Domy,2021,1,191.3
Jihomoravský kraj,Domy,2021,1,191.5
Olomoucký kraj,Domy,2021,1,175
Zlínský kraj,Domy,2021,1,172.1
Česká republika,Domy,2021,2,192.8
ČR bez Prahy,Domy,2021,2,195.7
Hlavní město Praha,Domy,2021,2,172
Středočeský kraj,Domy,2021,2,208.8
Jihočeský kraj,Domy,2021,2,198.4
Plzeňský kraj,Domy,2021,2,202.3
Karlovarský kraj,Domy,2021,2,167.2
Ústecký kraj,Domy,2021,2,190.3
Liberecký kraj,Domy,2021,2,193.1
Královéhradecký kraj,Domy,2021,2,191.4
Pardubický kraj,Domy,2021,2,179.8
Kraj Vysočina,Domy,2021,2,196
Jihomoravský kraj,Domy,2021,2,198.3
Olomoucký kraj,Domy,2021,2,178.1
Zlínský kraj,Domy,2021,2,181.9
Česká republika,Domy,2021,3,203.4
ČR bez Prahy,Domy,2021,3,207.5
Hlavní město Praha,Domy,2021,3,174.5
Středočeský kraj,Domy,2021,3,218.2
Jihočeský kraj,Domy,2021,3,213.2
Plzeňský kraj,Domy,2021,3,207.4
Karlovarský kraj,Domy,2021,3,171.7
Ústecký kraj,Domy,2021,3,199
Liberecký kraj,Domy,2021,3,200
Královéhradecký kraj,Domy,2021,3,199.3
Pardubický kraj,Domy,2021,3,198.1
Kraj Vysočina,Domy,2021,3,213.2
Jihomoravský kraj,Domy,2021,3,216.9
Olomoucký kraj,Domy,2021,3,186.5
Zlínský kraj,Domy,2021,3,195
Česká republika,Domy,2021,4,212.3
ČR bez Prahy,Domy,2021,4,215.7
Hlavní město Praha,Domy,2021,4,188.7
Středočeský kraj,Domy,2021,4,230
Jihočeský kraj,Domy,2021,4,219.4
Plzeňský kraj,Domy,2021,4,211.2
Karlovarský kraj,Domy,2021,4,176.9
Ústecký kraj,Domy,2021,4,210.6
Liberecký kraj,Domy,2021,4,220.2
Královéhradecký kraj,Domy,2021,4,204.1
Pardubický kraj,Domy,2021,4,205.5
Kraj Vysočina,Domy,2021,4,212.6
Jihomoravský kraj,Domy,2021,4,223
Olomoucký kraj,Domy,2021,4,200.9
Zlínský kraj,Domy,2021,4,194.9
Česká republika,Domy,2021,year,198.1
ČR bez Prahy,Domy,2021,year,201.5
Hlavní město Praha,Domy,2021,year,174.3
Středočeský kraj,Domy,2021,year,213.8
Jihočeský kraj,Domy,2021,year,205.6
Plzeňský kraj,Domy,2021,year,203.8
Karlovarský kraj,Domy,2021,year,168.4
Ústecký kraj,Domy,2021,year,195.1
Liberecký kraj,Domy,2021,year,201.3
Královéhradecký kraj,Domy,2021,year,194.8
Pardubický kraj,Domy,2021,year,189.8
Kraj Vysočina,Domy,2021,year,203.3
Jihomoravský kraj,Domy,2021,year,207.4
Olomoucký kraj,Domy,2021,year,185.1
Zlínský kraj,Domy,2021,year,186
Česká republika,Byty,2021,1,201.8
ČR bez Prahy,Byty,2021,1,200.5
Hlavní město Praha,Byty,2021,1,203.4
Středočeský kraj,Byty,2021,1,198.8
Jihočeský kraj,Byty,2021,1,218.1
Plzeňský kraj,Byty,2021,1,196.1
Karlovarský kraj,Byty,2021,1,175.3
Ústecký kraj,Byty,2021,1,236.1
Liberecký kraj,Byty,2021,1,213.3
Královéhradecký kraj,Byty,2021,1,202.8
Pardubický kraj,Byty,2021,1,191.8
Kraj Vysočina,Byty,2021,1,205.7
Jihomoravský kraj,Byty,2021,1,194.9
Olomoucký kraj,Byty,2021,1,195
Zlínský kraj,Byty,2021,1,200.1
Česká republika,Byty,2021,2,212.8
ČR bez Prahy,Byty,2021,2,214
Hlavní město Praha,Byty,2021,2,211.1
Středočeský kraj,Byty,2021,2,212
Jihočeský kraj,Byty,2021,2,221.5
Plzeňský kraj,Byty,2021,2,202.1
Karlovarský kraj,Byty,2021,2,190.3
Ústecký kraj,Byty,2021,2,264.6
Liberecký kraj,Byty,2021,2,222.5
Královéhradecký kraj,Byty,2021,2,220.1
Pardubický kraj,Byty,2021,2,203.5
Kraj Vysočina,Byty,2021,2,220.6
Jihomoravský kraj,Byty,2021,2,210
Olomoucký kraj,Byty,2021,2,205.4
Zlínský kraj,Byty,2021,2,212.6
Česká republika,Byty,2021,3,228.7
ČR bez Prahy,Byty,2021,3,231.8
Hlavní město Praha,Byty,2021,3,224.7
Středočeský kraj,Byty,2021,3,226.9
Jihočeský kraj,Byty,2021,3,243
Plzeňský kraj,Byty,2021,3,219.2
Karlovarský kraj,Byty,2021,3,202.4
Ústecký kraj,Byty,2021,3,288.3
Liberecký kraj,Byty,2021,3,235.2
Královéhradecký kraj,Byty,2021,3,230.3
Pardubický kraj,Byty,2021,3,218.8
Kraj Vysočina,Byty,2021,3,236.2
Jihomoravský kraj,Byty,2021,3,230.2
Olomoucký kraj,Byty,2021,3,216.6
Zlínský kraj,Byty,2021,3,230.2
Česká republika,Byty,2021,4,243.1
ČR bez Prahy,Byty,2021,4,247
Hlavní město Praha,Byty,2021,4,238.1
Středočeský kraj,Byty,2021,4,242.7
Jihočeský kraj,Byty,2021,4,260.3
Plzeňský kraj,Byty,2021,4,229.9
Karlovarský kraj,Byty,2021,4,219.1
Ústecký kraj,Byty,2021,4,318.1
Liberecký kraj,Byty,2021,4,251.3
Královéhradecký kraj,Byty,2021,4,247.8
Pardubický kraj,Byty,2021,4,230
Kraj Vysočina,Byty,2021,4,251.9
