region,year,price,type
Jeseník,2021,27542,Rodinné domy
Olomouc,2021,36587,Rodinné domy
Prostějov,2021,32338,Rodinné domy
Přerov,2021,29046,Rodinné domy
Šumperk,2021,31846,Rodinné domy
Zlínský kraj,2021,31795,Rodinné domy
Kroměříž,2021,29126,Rodinné domy
Uherské Hradiště,2021,29317,Rodinné domy
Vsetín,2021,31957,Rodinné domy
Zlín,2021,36421,Rodinné domy
Moravskoslezský kraj,2021,34984,Rodinné domy
Bruntál,2021,27421,Rodinné domy
Frýdek-Místek,2021,36335,Rodinné domy
Karviná,2021,34500,Rodinné domy
Nový Jičín,2021,32989,Rodinné domy
Opava,2021,34350,Rodinné domy
Ostrava-město,2021,42476,Rodinné domy
Česká republika,2022,49782,Rodinné domy
Hlavní město Praha,2022,105434,Rodinné domy
Středočeský kraj,2022,66053,Rodinné domy
Benešov,2022,50121,Rodinné domy
Beroun,2022,46145,Rodinné domy
Kladno,2022,53076,Rodinné domy
Kolín,2022,45220,Rodinné domy
Kutná Hora,2022,38291,Rodinné domy
Mělník,2022,48595,Rodinné domy
Mladá Boleslav,2022,46381,Rodinné domy
Nymburk,2022,44666,Rodinné domy
Praha-východ,2022,96276,Rodinné domy
Praha-západ,2022,95020,Rodinné domy
Příbram,2022,43076,Rodinné domy
Rakovník,2022,41744,Rodinné domy
Jihočeský kraj,2022,47320,Rodinné domy
České Budějovice,2022,57436,Rodinné domy
Český Krumlov,2022,41085,Rodinné domy
Jindřichův Hradec,2022,44521,Rodinné domy
Písek,2022,40710,Rodinné domy
Prachatice,2022,47947,Rodinné domy
Strakonice,2022,41572,Rodinné domy
Tábor,2022,43611,Rodinné domy
Plzeňský kraj,2022,43989,Rodinné domy
Domažlice,2022,38815,Rodinné domy
Klatovy,2022,39782,Rodinné domy
Plzeň-jih,2022,39518,Rodinné domy
Plzeň-město,2022,69874,Rodinné domy
Plzeň-sever,2022,43797,Rodinné domy
Rokycany,2022,37307,Rodinné domy
Tachov,2022,40015,Rodinné domy
Karlovarský kraj,2022,38860,Rodinné domy
Cheb,2022,36655,Rodinné domy
Karlovy Vary,2022,45539,Rodinné domy
Sokolov,2022,35051,Rodinné domy
Ústecký kraj,2022,39170,Rodinné domy
Děčín,2022,35316,Rodinné domy
Chomutov,2022,40709,Rodinné domy
Litoměřice,2022,38430,Rodinné domy
Louny,2022,39427,Rodinné domy
Most,2022,40649,Rodinné domy
Teplice,2022,39699,Rodinné domy
Ústí nad Labem,2022,47885,Rodinné domy
Liberecký kraj,2022,47752,Rodinné domy
Česká Lípa,2022,43822,Rodinné domy
Jablonec nad Nisou,2022,45619,Rodinné domy
Liberec,2022,52313,Rodinné domy
Semily,2022,42283,Rodinné domy
Královéhradecký kraj,2022,45583,Rodinné domy
Hradec Králové,2022,58264,Rodinné domy
Jičín,2022,41375,Rodinné domy
Náchod,2022,36420,Rodinné domy
Rychnov nad Kněžnou,2022,44802,Rodinné domy
Trutnov,2022,41626,Rodinné domy
Pardubický kraj,2022,42356,Rodinné domy
Chrudim,2022,40267,Rodinné domy
Pardubice,2022,57189,Rodinné domy
Svitavy,2022,39633,Rodinné domy
Ústí nad Orlicí,2022,38079,Rodinné domy
Kraj Vysočina,2022,41874,Rodinné domy
Havlíčkův Brod,2022,41926,Rodinné domy
Jihlava,2022,49102,Rodinné domy
Pelhřimov,2022,38557,Rodinné domy
Třebíč,2022,39139,Rodinné domy
Žďár nad Sázavou,2022,39887,Rodinné domy
Jihomoravský kraj,2022,47816,Rodinné domy
Blansko,2022,41013,Rodinné domy
Brno-město,2022,74250,Rodinné domy
Brno-venkov,2022,46032,Rodinné domy
Břeclav,2022,42812,Rodinné domy
Hodonín,2022,37531,Rodinné domy
Vyškov,2022,42683,Rodinné domy
Znojmo,2022,41655,Rodinné domy
Olomoucký kraj,2022,38838,Rodinné domy
Jeseník,2022,34150,Rodinné domy
Olomouc,2022,42785,Rodinné domy
Prostějov,2022,38702,Rodinné domy
Přerov,2022,35096,Rodinné domy
Šumperk,2022,39304,Rodinné domy
Zlínský kraj,2022,39362,Rodinné domy
Kroměříž,2022,34984,Rodinné domy
Uherské Hradiště,2022,36541,Rodinné domy
Vsetín,2022,40363,Rodinné domy
Zlín,2022,44439,Rodinné domy
Moravskoslezský kraj,2022,41647,Rodinné domy
Bruntál,2022,33690,Rodinné domy
Frýdek-Místek,2022,44614,Rodinné domy
Karviná,2022,41806,Rodinné domy
Nový Jičín,2022,37506,Rodinné domy
Opava,2022,40495,Rodinné domy
Ostrava-město,2022,49908,Rodinné domy
Česká republika,2023,48596,Rodinné domy
Hlavní město Praha,2023,111087,Rodinné domy
Středočeský kraj,2023,64031,Rodinné domy
Benešov,2023,43268,Rodinné domy
Beroun,2023,52179,Rodinné domy
Kladno,2023,52323,Rodinné domy
Kolín,2023,46053,Rodinné domy
Kutná Hora,2023,51510,Rodinné domy
Mělník,2023,49340,Rodinné domy
Mladá Boleslav,2023,47913,Rodinné domy
Nymburk,2023,45054,Rodinné domy
Praha-východ,2023,88141,Rodinné domy
Praha-západ,2023,89694,Rodinné domy
Příbram,2023,44672,Rodinné domy
Rakovník,2023,41213,Rodinné domy
Jihočeský kraj,2023,45525,Rodinné domy
České Budějovice,2023,53362,Rodinné domy
Český Krumlov,2023,47101,Rodinné domy
Jindřichův Hradec,2023,38302,Rodinné domy
Písek,2023,40988,Rodinné domy
Prachatice,2023,34261,Rodinné domy
Strakonice,2023,36961,Rodinné domy
Tábor,2023,47061,Rodinné domy
Plzeňský kraj,2023,44192,Rodinné domy
Domažlice,2023,39139,Rodinné domy
Klatovy,2023,42230,Rodinné domy
Plzeň-jih,2023,41220,Rodinné domy
Plzeň-město,2023,63422,Rodinné domy
Plzeň-sever,2023,42091,Rodinné domy
Rokycany,2023,42570,Rodinné domy
Tachov,2023,38242,Rodinné domy
Karlovarský kraj,2023,37335,Rodinné domy
Cheb,2023,35437,Rodinné domy
Karlovy Vary,2023,42750,Rodinné domy
Sokolov,2023,34964,Rodinné domy
Ústecký kraj,2023,38348,Rodinné domy
Děčín,2023,35977,Rodinné domy
Chomutov,2023,40632,Rodinné domy
Litoměřice,2023,36565,Rodinné domy
Louny,2023,33299,Rodinné domy
Most,2023,41441,Rodinné domy
Teplice,2023,44666,Rodinné domy
Ústí nad Labem,2023,48345,Rodinné domy
Liberecký kraj,2023,46566,Rodinné domy
Česká Lípa,2023,38159,Rodinné domy
Jablonec nad Nisou,2023,43396,Rodinné domy
Liberec,2023,52824,Rodinné domy
Semily,2023,40238,Rodinné domy
Královéhradecký kraj,2023,46624,Rodinné domy
Hradec Králové,2023,56479,Rodinné domy
Jičín,2023,41667,Rodinné domy
Náchod,2023,42506,Rodinné domy
Rychnov nad Kněžnou,2023,41554,Rodinné domy
Trutnov,2023,42593,Rodinné domy
Pardubický kraj,2023,40448,Rodinné domy
Chrudim,2023,38223,Rodinné domy
Pardubice,2023,56311,Rodinné domy
Svitavy,2023,34701,Rodinné domy
Ústí nad Orlicí,2023,38972,Rodinné domy
Kraj Vysočina,2023,40933,Rodinné domy
Havlíčkův Brod,2023,41200,Rodinné domy
Jihlava,2023,46320,Rodinné domy
Pelhřimov,2023,36032,Rodinné domy
Třebíč,2023,37021,Rodinné domy
Žďár nad Sázavou,2023,41317,Rodinné domy
Jihomoravský kraj,2023,49904,Rodinné domy
Blansko,2023,40423,Rodinné domy
Brno-město,2023,78210,Rodinné domy
